DonorID,DonorName,PrefectureID,Age,Occupation,PrefectureName,PrefectureNameEn,OccupationEn
2000001,後藤桜,14,32,販売員,神奈川県,Kanagawa,Retail staff
2000002,杉本涼太,17,52,パート・アルバイト,石川県,Ishikawa,Part-time worker
2000003,石川真一,27,36,学生,大阪府,Osaka,Student
2000004,星野久美子,23,55,飲食業,愛知県,Aichi,Food service
2000005,松岡心春,28,47,会社員,兵庫県,Hyogo,Company employee
2000006,太田沙織,12,26,営業職,千葉県,Chiba,Sales
2000007,三浦美咲,32,22,経理・財務,島根県,Shimane,Accounting and finance
2000008,宮崎健太,13,33,販売員,東京都,Tokyo,Retail staff
2000009,渡部奈々,14,48,研究職,神奈川県,Kanagawa,Researcher
2000010,小島志保,14,51,エンジニア,神奈川県,Kanagawa,Engineer
2000011,斉藤哲也,40,42,会社員,福岡県,Fukuoka,Company employee
2000012,村上節子,40,72,農業,福岡県,Fukuoka,Farmer
2000013,安藤翔太,12,48,自営業,千葉県,Chiba,Self-employed
2000014,丸山悠斗,37,68,研究職,香川県,Kagawa,Researcher
2000015,大西志保,23,43,主婦・主夫,愛知県,Aichi,Homemaker
2000016,村上凛,30,76,建築士,和歌山県,Wakayama,Architect
2000017,平野直樹,12,49,医師,千葉県,Chiba,Physician
2000018,滝沢大輝,17,52,エンジニア,石川県,Ishikawa,Engineer
2000019,石井慎太郎,12,25,飲食業,千葉県,Chiba,Food service
2000020,浜田大輝,15,54,弁護士,新潟県,Niigata,Lawyer
2000021,菊地奈々,23,29,学生,愛知県,Aichi,Student
2000022,坂本陸,1,43,弁護士,北海道,Hokkaido,Lawyer
2000023,田口千尋,30,60,飲食業,和歌山県,Wakayama,Food service
2000024,久保瑞穂,11,53,農業,埼玉県,Saitama,Farmer
2000025,松本沙織,16,64,医師,富山県,Toyama,Physician
2000026,田中洋子,28,53,保育士,兵庫県,Hyogo,Childcare worker
2000027,林奈々,36,25,弁護士,徳島県,Tokushima,Lawyer
2000028,井上駿,12,36,教員,千葉県,Chiba,Teacher
2000029,滝沢楓,41,55,漁業,佐賀県,Saga,Fisher
2000030,中村駿,22,65,経理・財務,静岡県,Shizuoka,Accounting and finance
2000031,阿部真一,26,41,主婦・主夫,京都府,Kyoto,Homemaker
2000032,安田陸,20,77,医師,長野県,Nagano,Physician
2000033,山口蓮,28,75,保育士,兵庫県,Hyogo,Childcare worker
2000034,酒井瑞穂,31,21,飲食業,鳥取県,Tottori,Food service
2000035,白石瑞穂,23,24,主婦・主夫,愛知県,Aichi,Homemaker
2000036,小林亮,12,55,公務員,千葉県,Chiba,Public servant
2000037,斉藤春香,17,42,建築士,石川県,Ishikawa,Architect
2000038,池田香織,12,51,パート・アルバイト,千葉県,Chiba,Part-time worker
2000039,中山志保,23,64,エンジニア,愛知県,Aichi,Engineer
2000040,林和子,23,30,建築士,愛知県,Aichi,Architect
2000041,横田結衣,1,46,コンサルタント,北海道,Hokkaido,Consultant
2000042,松本和也,40,37,弁護士,福岡県,Fukuoka,Lawyer
2000043,田口沙織,24,33,漁業,三重県,Mie,Fisher
2000044,篠原楓,13,37,飲食業,東京都,Tokyo,Food service
2000045,林直樹,11,28,建築士,埼玉県,Saitama,Architect
2000046,酒井凛,11,31,弁護士,埼玉県,Saitama,Lawyer
2000047,大西亜希子,28,20,漁業,兵庫県,Hyogo,Fisher
2000048,野村結衣,12,32,販売員,千葉県,Chiba,Retail staff
2000049,中島凛,20,64,弁護士,長野県,Nagano,Lawyer
2000050,小松一郎,34,41,農業,広島県,Hiroshima,Farmer
2000051,大野祐樹,13,37,営業職,東京都,Tokyo,Sales
2000052,森田桜,12,36,自営業,千葉県,Chiba,Self-employed
2000053,飯田秀樹,13,42,その他,東京都,Tokyo,Other
2000054,中川芽衣,1,63,デザイナー,北海道,Hokkaido,Designer
2000055,上野亜希子,2,43,経理・財務,青森県,Aomori,Accounting and finance
2000056,野村凛,1,51,弁護士,北海道,Hokkaido,Lawyer
2000057,松田義明,13,27,デザイナー,東京都,Tokyo,Designer
2000058,横田涼太,12,58,学生,千葉県,Chiba,Student
2000059,近藤香織,10,49,研究職,群馬県,Gunma,Researcher
2000060,谷口将也,43,29,医師,熊本県,Kumamoto,Physician
2000061,村田結衣,33,32,その他,岡山県,Okayama,Other
2000062,安藤悠斗,13,46,年金受給者,東京都,Tokyo,Pensioner
2000063,石川一郎,26,49,営業職,京都府,Kyoto,Sales
2000064,高木隆志,35,31,飲食業,山口県,Yamaguchi,Food service
2000065,高木凛,16,43,漁業,富山県,Toyama,Fisher
2000066,新井翔太,25,44,主婦・主夫,滋賀県,Shiga,Homemaker
2000067,谷口達也,26,44,自営業,京都府,Kyoto,Self-employed
2000068,竹内慎太郎,20,54,農業,長野県,Nagano,Farmer
2000069,斎藤久美子,29,45,美容師,奈良県,Nara,Hairdresser
2000070,小島隆志,13,42,パート・アルバイト,東京都,Tokyo,Part-time worker
2000071,今井洋子,30,36,教員,和歌山県,Wakayama,Teacher
2000072,阿部悠人,27,20,医師,大阪府,Osaka,Physician
2000073,太田誠,11,36,年金受給者,埼玉県,Saitama,Pensioner
2000074,杉本楓,23,75,保育士,愛知県,Aichi,Childcare worker
2000075,河野結衣,13,44,営業職,東京都,Tokyo,Sales
2000076,島田由美,23,50,運転手,愛知県,Aichi,Driver
2000077,野村直美,13,24,建築士,東京都,Tokyo,Architect
2000078,山本志保,10,37,販売員,群馬県,Gunma,Retail staff
2000079,山田義明,22,49,年金受給者,静岡県,Shizuoka,Pensioner
2000080,岩崎亜希子,11,39,保育士,埼玉県,Saitama,Childcare worker
2000081,佐野義明,40,28,建築士,福岡県,Fukuoka,Architect
2000082,今井克彦,28,52,パート・アルバイト,兵庫県,Hyogo,Part-time worker
2000083,丸山正樹,11,39,経理・財務,埼玉県,Saitama,Accounting and finance
2000084,岩崎駿,13,48,研究職,東京都,Tokyo,Researcher
2000085,伊藤真一,23,38,運転手,愛知県,Aichi,Driver
2000086,大塚駿,11,20,学生,埼玉県,Saitama,Student
2000087,山本大輝,31,72,弁護士,鳥取県,Tottori,Lawyer
2000088,山田陽介,11,31,研究職,埼玉県,Saitama,Researcher
2000089,松井志保,27,47,医師,大阪府,Osaka,Physician
2000090,上野陸,28,20,営業職,兵庫県,Hyogo,Sales
2000091,新井結衣,5,62,運転手,秋田県,Akita,Driver
2000092,中島義明,31,36,看護師,鳥取県,Tottori,Nurse
2000093,中島亜希子,28,48,建築士,兵庫県,Hyogo,Architect
2000094,杉本隆志,27,30,教員,大阪府,Osaka,Teacher
2000095,東結衣,11,44,営業職,埼玉県,Saitama,Sales
2000096,上田裕子,15,43,主婦・主夫,新潟県,Niigata,Homemaker
2000097,池田蓮,45,43,農業,宮崎県,Miyazaki,Farmer
2000098,橋本幸子,40,51,農業,福岡県,Fukuoka,Farmer
2000099,渡辺涼太,28,56,運転手,兵庫県,Hyogo,Driver
2000100,今井京子,37,68,会社員,香川県,Kagawa,Company employee
2000101,藤井洋平,40,40,飲食業,福岡県,Fukuoka,Food service
2000102,武田京子,14,54,美容師,神奈川県,Kanagawa,Hairdresser
2000103,前田京子,21,34,美容師,岐阜県,Gifu,Hairdresser
2000104,今井和也,27,39,研究職,大阪府,Osaka,Researcher
2000105,山口裕子,2,61,教員,青森県,Aomori,Teacher
2000106,市川美咲,45,68,エンジニア,宮崎県,Miyazaki,Engineer
2000107,武田直美,36,59,エンジニア,徳島県,Tokushima,Engineer
2000108,村田啓介,26,55,主婦・主夫,京都府,Kyoto,Homemaker
2000109,安藤克彦,42,53,主婦・主夫,長崎県,Nagasaki,Homemaker
2000110,山本文子,17,31,研究職,石川県,Ishikawa,Researcher
2000111,林幸子,28,34,看護師,兵庫県,Hyogo,Nurse
2000112,田口千尋,43,26,経理・財務,熊本県,Kumamoto,Accounting and finance
2000113,高橋幸子,13,65,販売員,東京都,Tokyo,Retail staff
2000114,中野真央,27,27,漁業,大阪府,Osaka,Fisher
2000115,小島心春,11,40,会計士,埼玉県,Saitama,Accountant
2000116,上田義明,40,33,公務員,福岡県,Fukuoka,Public servant
2000117,松田孝之,30,54,販売員,和歌山県,Wakayama,Retail staff
2000118,石川春香,15,39,医師,新潟県,Niigata,Physician
2000119,田村隆志,14,68,教員,神奈川県,Kanagawa,Teacher
2000120,石川美咲,27,54,年金受給者,大阪府,Osaka,Pensioner
2000121,久保啓介,11,35,美容師,埼玉県,Saitama,Hairdresser
2000122,大野亜希子,11,37,弁護士,埼玉県,Saitama,Lawyer
2000123,鈴木陽子,13,64,弁護士,東京都,Tokyo,Lawyer
2000124,藤田楓,25,39,会社員,滋賀県,Shiga,Company employee
2000125,横田千尋,19,22,薬剤師,山梨県,Yamanashi,Pharmacist
2000126,菊地将也,38,42,その他,愛媛県,Ehime,Other
2000127,中川葵,28,40,公務員,兵庫県,Hyogo,Public servant
2000128,東澪,40,76,公務員,福岡県,Fukuoka,Public servant
2000129,森一郎,28,43,コンサルタント,兵庫県,Hyogo,Consultant
2000130,林和子,11,46,年金受給者,埼玉県,Saitama,Pensioner
2000131,前田航,11,61,年金受給者,埼玉県,Saitama,Pensioner
2000132,田口幸子,13,53,自営業,東京都,Tokyo,Self-employed
2000133,藤井奈々,33,50,学生,岡山県,Okayama,Student
2000134,竹内芽衣,14,32,主婦・主夫,神奈川県,Kanagawa,Homemaker
2000135,斎藤哲也,14,67,運転手,神奈川県,Kanagawa,Driver
2000136,山崎悠人,13,30,看護師,東京都,Tokyo,Nurse
2000137,山本楓,11,46,年金受給者,埼玉県,Saitama,Pensioner
2000138,遠藤真一,18,61,エンジニア,福井県,Fukui,Engineer
2000139,山崎七海,14,42,建築士,神奈川県,Kanagawa,Architect
2000140,林久美子,27,42,主婦・主夫,大阪府,Osaka,Homemaker
2000141,渡部志保,13,36,保育士,東京都,Tokyo,Childcare worker
2000142,山本義明,8,79,漁業,茨城県,Ibaraki,Fisher
2000143,千葉洋平,22,39,看護師,静岡県,Shizuoka,Nurse
2000144,関雄大,27,40,飲食業,大阪府,Osaka,Food service
2000145,森亜希子,13,27,会社員,東京都,Tokyo,Company employee
2000146,杉山和也,14,37,学生,神奈川県,Kanagawa,Student
2000147,岡本節子,13,45,パート・アルバイト,東京都,Tokyo,Part-time worker
2000148,近藤陽介,44,34,営業職,大分県,Oita,Sales
2000149,高橋彩,1,39,美容師,北海道,Hokkaido,Hairdresser
2000150,坂本直樹,13,31,営業職,東京都,Tokyo,Sales
